Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,1137,47.85081744194031
50,0.7,0.2,100,1135,17.12199831008911
100,0.8,0.1,100,1183,18.464147329330444
100,0.7,0.2,150,1104,24.891828298568726
200,0.7,0.2,100,1056,30.623573780059814
200,0.8,0.3,150,1042,56.604504108428955
