Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,880,9.283257007598877
50,0.7,0.2,100,949,6.711397647857666
100,0.8,0.1,100,880,12.891026258468628
100,0.7,0.2,150,943,18.258415699005127
200,0.7,0.2,100,893,16.90980315208435
200,0.8,0.3,150,835,23.87867021560669
