Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,48,4.996058702
50,0.7,0.2,100,53,4.219648361
100,0.8,0.1,100,53,5.733333111
100,0.7,0.2,150,52,7.142733097
200,0.7,0.2,100,52,9.380953312
200,0.8,0.3,150,52,12.19289374
