Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,53,2.7177505493164062
50,0.7,0.2,100,47,2.0028069019317627
100,0.8,0.1,100,47,2.643873929977417
100,0.7,0.2,150,51,4.237375020980835
200,0.7,0.2,100,51,3.844076156616211
200,0.8,0.3,150,47,5.645733833312988
