Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Refined Makespan,Runtime
50,0.6,0.1,100,358,358,4.658689498901367
50,0.7,0.2,100,358,358,4.317689418792725
100,0.8,0.1,100,358,358,5.151690721511841
100,0.7,0.2,150,358,358,6.770709753036499
200,0.7,0.2,100,358,358,8.400561571121216
200,0.8,0.3,150,358,358,12.258084058761597
