Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Refined Makespan,Runtime
50,0.6,0.1,100,948,809,10.201587200164795
50,0.7,0.2,100,945,810,6.0623743534088135
100,0.8,0.1,100,855,800,7.427568674087524
100,0.7,0.2,150,902,799,9.43954348564148
200,0.7,0.2,100,768,761,15.07138705253601
200,0.8,0.3,150,720,720,18.436277151107788
