Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,375,14.973238468170166
50,0.7,0.2,100,358,2.455306053161621
100,0.8,0.1,100,358,3.7868528366088867
100,0.7,0.2,150,358,4.902687072753906
200,0.7,0.2,100,358,5.964701890945435
200,0.8,0.3,150,358,8.202491760253906
