Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,829,3.8368635177612305
50,0.7,0.2,100,899,3.0324525833129883
100,0.8,0.1,100,827,5.4889304637908936
100,0.7,0.2,150,742,7.4100730419158936
200,0.7,0.2,100,874,8.804842233657837
200,0.8,0.3,150,751,11.832642793655396
