Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,1612,7.702313185
50,0.7,0.2,100,2149,4.986785889
100,0.8,0.1,100,2364,11.15771198
100,0.7,0.2,150,1664,15.0763061
200,0.7,0.2,100,1721,14.67118192
200,0.8,0.3,150,2073,21.57873893
