Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,660,4.011515141
50,0.7,0.2,100,763,4.18919301
100,0.8,0.1,100,716,5.705411434
100,0.7,0.2,150,763,7.680027008
200,0.7,0.2,100,462,14.4792459
200,0.8,0.3,150,763,20.63476396
