Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,76,4.214031219
50,0.7,0.2,100,86,3.121150255
100,0.8,0.1,100,89,4.392481327
100,0.7,0.2,150,76,5.622718811
200,0.7,0.2,100,80,7.268254757
200,0.8,0.3,150,82,11.06801844
