Population Size,Crossover Probability,Mutation Probability,Generations,Makespan,Runtime
50,0.6,0.1,100,4143,30.060668468475342
50,0.7,0.2,100,4141,15.977778673171997
100,0.8,0.1,100,3283,17.925868034362793
100,0.7,0.2,150,3975,28.617781162261963
200,0.7,0.2,100,3196,30.04017186164856
200,0.8,0.3,150,3122,58.31642746925354
